elapsed_time,ax,ay,az,vibration
00:00:00.054,184.0,-1036.0,14980.0,1367.09
00:00:00.086,136.0,-1036.0,15076.0,1271.83
00:00:00.116,364.0,-1084.0,15132.0,1208.86
00:00:00.147,232.0,-1004.0,14920.0,1428.46
00:00:00.178,152.0,-1004.0,14964.0,1385.59
00:00:00.207,88.0,-964.0,15008.0,1344.81
00:00:00.238,240.0,-984.0,14992.0,1357.83
00:00:00.269,264.0,-1004.0,15088.0,1260.33
00:00:00.299,244.0,-900.0,14856.0,1498.76
00:00:00.330,220.0,-1012.0,14916.0,1432.09
00:00:00.362,228.0,-1016.0,15064.0,1284.06
00:00:00.391,284.0,-940.0,15124.0,1228.16
00:00:00.422,144.0,-1008.0,14936.0,1413.33
00:00:00.452,264.0,-976.0,15012.0,1337.99
00:00:00.483,176.0,-1012.0,14948.0,1400.75
00:00:00.514,120.0,-1004.0,14944.0,1405.83
00:00:00.544,132.0,-996.0,14840.0,1510.03
00:00:00.574,284.0,-908.0,15040.0,1313.94
00:00:00.605,204.0,-1036.0,14948.0,1398.75
00:00:00.637,264.0,-1060.0,14996.0,1348.27
00:00:00.667,216.0,-960.0,14920.0,1431.59
00:00:00.698,196.0,-1088.0,15008.0,1335.34
00:00:00.728,152.0,-976.0,14980.0,1371.47
00:00:00.759,200.0,-1016.0,14876.0,1472.00
00:00:00.790,200.0,-928.0,15120.0,1234.23
00:00:00.821,244.0,-1008.0,14948.0,1400.07
00:00:00.851,280.0,-944.0,15140.0,1212.01
00:00:00.882,160.0,-1004.0,15032.0,1317.66
00:00:00.914,204.0,-1020.0,14972.0,1375.91
00:00:00.944,252.0,-992.0,15044.0,1305.22
00:00:00.974,136.0,-936.0,15020.0,1334.25
00:00:01.004,108.0,-964.0,15004.0,1348.68
00:00:01.035,304.0,-1020.0,14848.0,1497.90
00:00:01.066,208.0,-956.0,15064.0,1288.26
00:00:01.096,212.0,-932.0,15024.0,1329.63
00:00:01.126,212.0,-960.0,15032.0,1319.88
00:00:01.156,144.0,-968.0,14884.0,1467.86
00:00:01.186,156.0,-956.0,15240.0,1113.25
00:00:01.218,204.0,-984.0,15092.0,1258.58
00:00:01.248,72.0,-1040.0,15060.0,1287.96
00:00:01.278,148.0,-988.0,15040.0,1310.86
00:00:01.308,236.0,-820.0,15128.0,1231.95
00:00:01.340,200.0,-1036.0,15036.0,1311.02
00:00:01.370,128.0,-968.0,15128.0,1224.52
00:00:01.400,188.0,-924.0,15016.0,1338.42
00:00:01.431,212.0,-1056.0,15064.0,1281.54
00:00:01.463,140.0,-1044.0,15072.0,1275.24
00:00:01.492,92.0,-876.0,15068.0,1290.28
00:00:01.523,244.0,-1100.0,15020.0,1321.80
00:00:01.553,132.0,-928.0,15084.0,1270.90
00:00:01.583,152.0,-908.0,15020.0,1335.81
00:00:01.614,264.0,-988.0,14920.0,1428.99
00:00:01.644,216.0,-980.0,14996.0,1354.46
00:00:01.674,252.0,-960.0,15004.0,1347.21
00:00:01.705,196.0,-1004.0,14948.0,1401.04
00:00:01.735,200.0,-936.0,15092.0,1261.68
00:00:01.766,84.0,-1048.0,14984.0,1363.16
00:00:01.796,184.0,-964.0,14976.0,1375.88
00:00:01.826,288.0,-948.0,14960.0,1391.23
00:00:01.855,252.0,-956.0,14892.0,1459.22
00:00:01.885,232.0,-984.0,15108.0,1242.21
00:00:01.917,148.0,-1028.0,14976.0,1372.03
00:00:01.947,240.0,-932.0,15048.0,1305.26
00:00:01.977,204.0,-988.0,15060.0,1290.25
00:00:02.008,212.0,-1044.0,15068.0,1278.39
00:00:02.039,92.0,-1028.0,15088.0,1260.74
00:00:02.069,168.0,-976.0,15032.0,1319.41
00:00:02.099,236.0,-916.0,14872.0,1481.95
00:00:02.129,240.0,-864.0,14948.0,1409.13
00:00:02.159,144.0,-988.0,14988.0,1362.78
00:00:02.191,184.0,-1004.0,15112.0,1237.57
00:00:02.221,272.0,-972.0,15020.0,1330.12
00:00:02.251,236.0,-936.0,14912.0,1440.79
00:00:02.281,216.0,-968.0,14996.0,1355.24
00:00:02.312,128.0,-1020.0,15044.0,1304.92
00:00:02.343,308.0,-904.0,14916.0,1437.46
00:00:02.374,248.0,-1016.0,14904.0,1443.35
00:00:02.403,200.0,-928.0,15080.0,1274.15
00:00:02.433,248.0,-940.0,14944.0,1408.41
00:00:02.465,248.0,-1012.0,15092.0,1256.08
00:00:02.496,200.0,-1004.0,14940.0,1408.97
00:00:02.527,192.0,-1024.0,15032.0,1315.94
00:00:02.556,264.0,-948.0,14936.0,1415.62
00:00:02.586,180.0,-960.0,15048.0,1304.33
00:00:02.617,220.0,-944.0,14920.0,1432.55
00:00:02.648,224.0,-1028.0,14896.0,1450.89
00:00:02.678,128.0,-936.0,15052.0,1302.38
00:00:02.709,188.0,-1012.0,14960.0,1388.63
00:00:02.738,224.0,-860.0,14908.0,1449.54
00:00:02.768,244.0,-976.0,15008.0,1342.32
00:00:02.798,204.0,-896.0,14960.0,1395.80
00:00:02.827,112.0,-912.0,14936.0,1419.76
00:00:02.856,184.0,-884.0,14940.0,1416.74
00:00:02.886,264.0,-968.0,15120.0,1230.75
00:00:02.917,228.0,-984.0,14904.0,1445.81
00:00:02.947,216.0,-968.0,15068.0,1283.39
00:00:02.977,212.0,-876.0,15112.0,1245.15
00:00:03.008,164.0,-1024.0,15088.0,1260.40
00:00:03.039,232.0,-952.0,15000.0,1352.03
00:00:03.069,304.0,-976.0,15000.0,1349.21
00:00:03.099,232.0,-1100.0,14920.0,1421.71
00:00:03.129,124.0,-936.0,14896.0,1458.11
00:00:03.158,200.0,-948.0,14960.0,1392.66
00:00:03.189,192.0,-1028.0,15044.0,1303.70
00:00:03.221,156.0,-1040.0,14928.0,1419.00
00:00:03.252,164.0,-1032.0,15116.0,1231.93
00:00:03.283,260.0,-1000.0,14936.0,1412.30
00:00:03.313,204.0,-916.0,14932.0,1422.54
00:00:03.345,168.0,-1112.0,14948.0,1393.75
00:00:03.375,140.0,-952.0,14952.0,1401.07
00:00:03.406,272.0,-1032.0,14840.0,1505.67
00:00:03.435,64.0,-964.0,14960.0,1392.84
00:00:03.465,272.0,-912.0,15040.0,1313.92
00:00:03.497,284.0,-1040.0,14936.0,1409.14
00:00:03.527,164.0,-952.0,15088.0,1265.11
00:00:03.557,200.0,-948.0,14912.0,1440.56
00:00:03.587,220.0,-932.0,15060.0,1293.59
00:00:03.618,148.0,-892.0,15036.0,1320.84
00:00:03.649,204.0,-1020.0,14944.0,1403.84
00:00:03.679,220.0,-1056.0,14960.0,1385.16
00:00:03.710,200.0,-1068.0,15020.0,1324.75
00:00:03.742,176.0,-1028.0,15108.0,1240.04
00:00:03.773,140.0,-1020.0,15000.0,1348.71
00:00:03.803,240.0,-900.0,15060.0,1295.22
00:00:03.833,216.0,-992.0,14996.0,1353.67
00:00:03.864,232.0,-1012.0,15072.0,1276.28
00:00:03.896,260.0,-1036.0,14996.0,1350.01
00:00:03.925,208.0,-904.0,15064.0,1291.47
00:00:03.955,156.0,-984.0,15056.0,1295.07
00:00:03.986,160.0,-1024.0,14992.0,1356.22
00:00:04.018,132.0,-1000.0,15112.0,1238.37
00:00:04.048,292.0,-964.0,14880.0,1469.95
00:00:04.078,108.0,-972.0,14856.0,1495.84
00:00:04.108,244.0,-968.0,15040.0,1310.91
00:00:04.139,108.0,-1028.0,15012.0,1336.46
00:00:04.171,184.0,-1016.0,14924.0,1424.32
00:00:04.202,188.0,-1012.0,15016.0,1332.76
00:00:04.232,196.0,-944.0,14836.0,1516.71
00:00:04.260,84.0,-900.0,15060.0,1296.90
00:00:04.290,192.0,-916.0,15036.0,1318.90
00:00:04.321,248.0,-960.0,14784.0,1566.79
00:00:04.352,108.0,-1048.0,14952.0,1394.93
00:00:04.383,168.0,-1048.0,15064.0,1282.65
00:00:04.414,212.0,-1004.0,14968.0,1380.87
00:00:04.444,212.0,-940.0,14984.0,1369.05
00:00:04.476,228.0,-1024.0,15124.0,1223.66
00:00:04.506,216.0,-928.0,14988.0,1365.74
00:00:04.534,88.0,-904.0,15072.0,1284.66
00:00:04.565,204.0,-1004.0,15128.0,1221.35
00:00:04.596,208.0,-968.0,14932.0,1419.21
00:00:04.625,132.0,-952.0,14816.0,1536.86
00:00:04.655,256.0,-996.0,14992.0,1356.77
00:00:04.685,140.0,-944.0,15040.0,1313.75
00:00:04.715,244.0,-936.0,15016.0,1336.88
00:00:04.747,336.0,-1008.0,14944.0,1402.27
00:00:04.777,232.0,-896.0,15068.0,1287.60
00:00:04.807,104.0,-976.0,15196.0,1156.33
00:00:04.837,148.0,-952.0,14948.0,1404.98
00:00:04.866,192.0,-924.0,15024.0,1330.39
00:00:04.896,180.0,-932.0,15020.0,1334.04
00:00:04.927,212.0,-1020.0,15012.0,1335.89
00:00:04.957,168.0,-900.0,15036.0,1320.15
00:00:04.987,212.0,-980.0,15052.0,1298.64
00:00:05.016,288.0,-992.0,14948.0,1400.35
00:00:05.047,168.0,-948.0,14824.0,1528.77
00:00:05.078,164.0,-1096.0,14996.0,1347.11
00:00:05.109,140.0,-1080.0,14956.0,1388.40
00:00:05.137,36.0,-952.0,14880.0,1473.53
00:00:05.169,144.0,-1024.0,15004.0,1344.41
00:00:05.199,128.0,-984.0,14992.0,1359.20
00:00:05.230,200.0,-1008.0,15060.0,1288.98
00:00:05.261,216.0,-1012.0,15032.0,1316.42
00:00:05.291,220.0,-964.0,15028.0,1323.51
00:00:05.323,196.0,-1108.0,15112.0,1230.17
00:00:05.354,228.0,-1052.0,15076.0,1269.62
00:00:05.385,192.0,-1000.0,15132.0,1217.78
00:00:05.415,132.0,-924.0,14984.0,1370.96
00:00:05.446,144.0,-916.0,14988.0,1367.34
00:00:05.476,140.0,-996.0,15068.0,1282.47
00:00:05.507,184.0,-1080.0,15004.0,1340.06
00:00:05.538,220.0,-1012.0,15012.0,1336.32
00:00:05.569,116.0,-1000.0,14940.0,1410.12
00:00:05.600,264.0,-980.0,15016.0,1333.74
00:00:05.630,164.0,-932.0,15088.0,1266.35
00:00:05.660,204.0,-956.0,14972.0,1380.12
00:00:05.690,344.0,-992.0,14996.0,1351.29
00:00:05.719,80.0,-928.0,15000.0,1355.11
00:00:05.750,208.0,-944.0,14884.0,1468.64
00:00:05.781,192.0,-1020.0,15020.0,1328.18
00:00:05.811,140.0,-972.0,15032.0,1319.96
00:00:05.842,192.0,-1004.0,15008.0,1341.23
00:00:05.873,156.0,-984.0,15088.0,1263.14
00:00:05.903,128.0,-968.0,14904.0,1448.05
00:00:05.933,252.0,-972.0,15136.0,1214.73
00:00:05.963,220.0,-996.0,14964.0,1385.28
00:00:05.992,256.0,-956.0,14876.0,1475.12
00:00:06.024,232.0,-1096.0,14860.0,1481.83
00:00:06.054,184.0,-956.0,14956.0,1396.35
00:00:06.084,208.0,-972.0,15100.0,1251.32
00:00:06.114,144.0,-984.0,15020.0,1331.11
00:00:06.144,168.0,-948.0,14968.0,1385.07
00:00:06.176,228.0,-1040.0,15024.0,1322.32
00:00:06.206,124.0,-956.0,15104.0,1249.27
00:00:06.237,172.0,-1012.0,15044.0,1305.02
00:00:06.267,100.0,-980.0,14848.0,1503.36
00:00:06.298,252.0,-876.0,14852.0,1504.05
00:00:06.327,336.0,-984.0,14976.0,1371.95
00:00:06.358,252.0,-1048.0,14904.0,1441.07
00:00:06.388,168.0,-984.0,15076.0,1274.99
00:00:06.419,192.0,-1056.0,14916.0,1429.43
00:00:06.451,240.0,-1008.0,14984.0,1364.22
00:00:06.481,360.0,-908.0,15028.0,1324.29
00:00:06.511,172.0,-912.0,14980.0,1375.28
00:00:06.540,92.0,-996.0,14920.0,1430.51
00:00:06.572,232.0,-1056.0,15092.0,1253.32
00:00:06.602,176.0,-940.0,15072.0,1281.69
00:00:06.632,100.0,-1016.0,15028.0,1321.36
00:00:06.662,200.0,-1016.0,15064.0,1284.45
00:00:06.693,188.0,-1016.0,15028.0,1320.52
00:00:06.725,168.0,-1028.0,15000.0,1347.88
00:00:06.754,72.0,-860.0,15100.0,1259.36
00:00:06.784,160.0,-960.0,15040.0,1312.54
00:00:06.815,196.0,-1032.0,14980.0,1367.21
00:00:06.846,120.0,-1000.0,15040.0,1310.31
00:00:06.876,160.0,-952.0,14996.0,1356.96
00:00:06.906,156.0,-924.0,15032.0,1322.82
00:00:06.936,224.0,-1068.0,15168.0,1176.80
00:00:06.966,132.0,-992.0,14904.0,1446.44
00:00:06.997,156.0,-944.0,14980.0,1373.47
00:00:07.027,248.0,-984.0,14996.0,1353.70
00:00:07.058,232.0,-1000.0,14952.0,1396.80
00:00:07.089,152.0,-1008.0,14988.0,1361.37
00:00:07.119,244.0,-956.0,15044.0,1307.68
00:00:07.151,244.0,-1000.0,15108.0,1240.98
00:00:07.180,32.0,-924.0,15096.0,1259.71
00:00:07.210,64.0,-1120.0,15032.0,1310.20
00:00:07.240,200.0,-1024.0,14780.0,1567.22
00:00:07.271,192.0,-1108.0,14964.0,1377.81
00:00:07.302,152.0,-936.0,15124.0,1230.30
00:00:07.332,284.0,-988.0,15128.0,1221.11
00:00:07.363,216.0,-1056.0,15016.0,1329.36
00:00:07.393,144.0,-972.0,15136.0,1216.14
