elapsed_time,ax,ay,az,vibration
00:00:00.056,2288.0,-412.0,-18360.0,2122.60
00:00:00.089,2212.0,-436.0,-18320.0,2074.21
00:00:00.121,2264.0,-312.0,-18224.0,1982.74
00:00:00.153,2200.0,-284.0,-18328.0,2077.75
00:00:00.185,2212.0,-292.0,-18456.0,2206.38
00:00:00.217,2332.0,-456.0,-18384.0,2152.93
00:00:00.249,2276.0,-348.0,-18324.0,2084.09
00:00:00.281,2276.0,-272.0,-18284.0,2043.12
00:00:00.314,2280.0,-416.0,-18300.0,2062.18
00:00:00.346,2356.0,-420.0,-18208.0,1980.60
00:00:00.378,2324.0,-444.0,-18172.0,1941.38
00:00:00.410,2164.0,-352.0,-18320.0,2066.72
00:00:00.443,2308.0,-336.0,-18316.0,2079.90
00:00:00.475,2212.0,-424.0,-18412.0,2165.24
00:00:00.507,2316.0,-392.0,-18252.0,2018.53
00:00:00.539,2228.0,-316.0,-18388.0,2141.18
00:00:00.571,2300.0,-320.0,-18492.0,2253.23
00:00:00.603,2332.0,-316.0,-18364.0,2130.17
00:00:00.635,2348.0,-416.0,-18376.0,2146.07
00:00:00.668,2256.0,-372.0,-18328.0,2086.07
00:00:00.699,2296.0,-400.0,-18388.0,2151.11
00:00:00.730,2208.0,-532.0,-18364.0,2119.91
00:00:00.763,2300.0,-416.0,-18268.0,2032.92
00:00:00.795,2368.0,-416.0,-18316.0,2089.12
00:00:00.827,2304.0,-292.0,-18240.0,2003.26
00:00:00.859,2176.0,-344.0,-18308.0,2056.07
00:00:00.892,2316.0,-368.0,-18316.0,2081.51
00:00:00.924,2288.0,-380.0,-18320.0,2082.23
00:00:00.956,2272.0,-332.0,-18256.0,2015.83
00:00:00.989,2280.0,-424.0,-18388.0,2149.66
00:00:01.021,2232.0,-380.0,-18296.0,2051.56
00:00:01.052,2220.0,-268.0,-18376.0,2127.55
00:00:01.085,2208.0,-388.0,-18276.0,2028.98
00:00:01.116,2276.0,-308.0,-18436.0,2194.51
00:00:01.148,2196.0,-452.0,-18328.0,2080.62
00:00:01.179,2336.0,-388.0,-18504.0,2270.90
00:00:01.212,2220.0,-368.0,-18324.0,2077.66
00:00:01.244,2212.0,-312.0,-18428.0,2178.91
00:00:01.276,2284.0,-400.0,-18228.0,1990.89
00:00:01.308,2344.0,-316.0,-18300.0,2068.21
00:00:01.341,2248.0,-444.0,-18328.0,2086.69
00:00:01.373,2172.0,-408.0,-18344.0,2092.64
00:00:01.405,2320.0,-424.0,-18412.0,2178.43
00:00:01.438,2264.0,-380.0,-18388.0,2146.75
00:00:01.470,2228.0,-360.0,-18400.0,2153.90
00:00:01.502,2296.0,-440.0,-18432.0,2195.66
00:00:01.534,2288.0,-396.0,-18272.0,2034.95
00:00:01.567,2272.0,-292.0,-18332.0,2090.56
00:00:01.599,2188.0,-352.0,-18348.0,2097.35
00:00:01.631,2316.0,-416.0,-18316.0,2082.53
00:00:01.663,2252.0,-392.0,-18368.0,2125.69
00:00:01.696,2228.0,-368.0,-18392.0,2146.11
00:00:01.728,2284.0,-368.0,-18432.0,2192.62
00:00:01.759,2276.0,-344.0,-18392.0,2151.48
00:00:01.792,2260.0,-404.0,-18320.0,2079.29
00:00:01.824,2232.0,-436.0,-18252.0,2009.14
00:00:01.856,2260.0,-464.0,-18312.0,2072.77
00:00:01.888,2336.0,-384.0,-18372.0,2139.90
00:00:01.920,2188.0,-352.0,-18252.0,2002.05
00:00:01.952,2212.0,-384.0,-18376.0,2128.64
00:00:01.984,2236.0,-380.0,-18196.0,1952.81
