time,ax,ay,az,gx,gy,gz,sw420
23:58:03:034,²ax,ay,az,gx,gy,gz,sw420
23:58:03:037,-268,-320,14900,-171,75,-158,0
23:58:03:039,-184,-360,15068,-155,54,-111,0
23:58:03:040,-112,-432,15076,-140,87,-117,0
23:58:03:045,-200,-344,14912,-141,64,-113,0
23:58:03:046,-204,-284,14916,-141,69,-118,0
23:58:03:047,-96,-408,15200,-174,38,-131,0
23:58:03:048,-204,-332,15124,-153,68,-113,0
23:58:03:052,-224,-384,14876,-154,53,-139,0
23:58:03:205,-188,-376,15016,-131,116,-111,0
23:58:03:456,-136,-344,15164,-145,69,-119,0
23:58:03:708,-108,-308,14960,-169,66,-146,0
23:58:03:960,-184,-360,14976,-170,66,-112,0
23:58:04:213,-132,-436,14976,-158,78,-139,0
23:58:04:465,-128,-324,15032,-157,59,-105,0
23:58:04:718,-216,-388,14960,-118,69,-114,0
23:58:04:970,-156,-376,14928,-164,48,-122,0
23:58:05:222,-168,-320,15028,-176,60,-111,0
23:58:05:474,-312,-368,14968,-153,69,-116,0
23:58:05:726,-80,-292,14968,-147,59,-119,0
23:58:05:980,-232,-420,15020,-161,67,-129,0
23:58:06:231,-152,-372,15040,-142,65,-132,0
23:58:06:484,-248,-508,14936,-162,50,-114,0
23:58:06:736,-248,-372,14956,-152,67,-106,0
23:58:06:988,-172,-404,14948,-181,45,-114,0
23:58:07:241,-268,-352,14904,-151,39,-123,0
23:58:07:493,-208,-296,14996,-170,37,-134,0
23:58:07:745,-280,-488,15084,-189,53,-133,0
23:58:07:998,-204,-276,14964,-169,55,-156,0
23:58:08:250,-140,-364,14912,-168,56,-137,0
23:58:08:502,-204,-340,14928,-145,62,-123,0
23:58:08:755,-228,-288,15016,-154,74,-107,0
23:58:09:008,-196,-324,14976,-167,48,-138,0
23:58:09:259,-168,-428,15008,-149,73,-120,0
23:58:09:512,-212,-368,14980,-140,50,-139,0
23:58:09:764,-292,-380,15088,-169,66,-117,0
23:58:10:016,-176,-344,14972,-156,67,-116,0
23:58:10:269,-176,-408,15244,-164,104,-136,0
23:58:10:520,-212,-228,14956,-148,58,-92,0
23:58:10:773,-164,-320,15012,-167,60,-112,0
23:58:11:026,-236,-332,14976,-170,89,-126,0
23:58:11:278,-152,-336,15024,-171,84,-125,0
23:58:11:530,-184,-372,15052,-149,32,-140,0
23:58:11:782,-148,-272,15036,-175,68,-123,0
23:58:12:035,-208,-392,14948,-169,70,-116,0
23:58:12:287,-216,-440,15004,-136,67,-122,0
23:58:12:540,-156,-424,15108,-156,86,-144,0
23:58:12:792,-188,-304,14968,-171,69,-110,0
23:58:13:047,-168,-344,14908,-172,79,-122,0
23:58:13:297,-164,-224,14992,-149,102,-121,0
23:58:13:549,-152,-268,14980,-156,55,-116,0
23:58:13:801,-168,-328,14988,-153,47,-127,0
23:58:14:053,-212,-328,15020,-149,68,-113,0
23:58:14:306,-248,-284,15084,-167,88,-118,0
23:58:14:557,-196,-316,14944,-133,72,-99,0
23:58:14:810,-196,-336,15000,-162,41,-130,0
23:58:15:062,-224,-252,14900,-140,44,-96,0
23:58:15:316,-268,-380,14980,-151,59,-150,0
23:58:15:568,-172,-332,14924,-152,48,-126,0
23:58:15:820,-176,-420,14972,-153,45,-142,0
23:58:16:072,-172,-300,14976,-160,52,-134,0
23:58:16:324,-140,-320,15096,-169,66,-124,0
23:58:16:577,-112,-296,15068,-163,53,-134,0
23:58:16:829,-280,-376,15068,-157,64,-113,0
23:58:17:081,-160,-348,15160,-152,75,-137,0
23:58:17:334,-220,-360,14912,-158,95,-123,0
23:58:17:586,-104,-468,15004,-148,71,-108,0
23:58:17:838,-264,-308,15012,-164,63,-121,0
23:58:18:091,-208,-392,14840,-167,62,-118,0
23:58:18:343,-160,-412,15020,-140,79,-150,0
23:58:18:595,-232,-404,14972,-163,72,-135,0
23:58:18:846,-172,-332,14980,-139,45,-96,0
23:58:19:100,-176,-348,14948,-172,88,-126,0
23:58:19:352,-184,-272,14856,-165,45,-107,0
23:58:19:604,-100,-352,14756,-174,64,-106,0
23:58:19:857,-188,-280,14996,-165,58,-124,0
23:58:20:109,-188,-360,14960,-136,72,-118,0
23:58:20:362,-276,-428,15016,-146,69,-122,0
23:58:20:614,-288,-316,14892,-136,62,-127,0
23:58:20:866,-256,-324,14960,-141,79,-106,0
