sample_id,timestamp,damage_level,damage_label,session,ax,ay,az,gx,gy,gz,sw420,az_zeroed
159,20:07:11:440,2,Moderate_Damage,L2_S2,-1824,1086,14858,-187,18,-126,0,1.96
160,20:07:11:450,2,Moderate_Damage,L2_S2,-1888,1100,14900,-176,38,-126,0,43.96
161,20:07:11:460,2,Moderate_Damage,L2_S2,-1748,1126,14866,-186,23,-128,0,9.96
162,20:07:11:470,2,Moderate_Damage,L2_S2,-1792,1078,14814,-177,26,-121,0,-42.04
163,20:07:11:480,2,Moderate_Damage,L2_S2,-1776,1108,14840,-188,27,-125,0,-16.04
164,20:07:11:490,2,Moderate_Damage,L2_S2,-1840,1042,14888,-187,28,-119,0,31.96
165,20:07:11:500,2,Moderate_Damage,L2_S2,-1822,1048,14802,-195,37,-125,0,-54.04
166,20:07:11:510,2,Moderate_Damage,L2_S2,-1824,1080,14884,-191,34,-114,0,27.96
167,20:07:11:520,2,Moderate_Damage,L2_S2,-1814,1098,14888,-199,27,-122,0,31.96
168,20:07:11:530,2,Moderate_Damage,L2_S2,-1850,1098,14842,-197,37,-132,0,-14.04
169,20:07:11:540,2,Moderate_Damage,L2_S2,-1858,1064,14832,-200,25,-123,0,-24.04
170,20:07:11:550,2,Moderate_Damage,L2_S2,-1814,1106,14828,-195,24,-123,0,-28.04
171,20:07:11:560,2,Moderate_Damage,L2_S2,-1810,1118,14884,-200,22,-123,0,27.96
172,20:07:11:570,2,Moderate_Damage,L2_S2,-1826,1090,14792,-200,30,-121,0,-64.04
173,20:07:11:580,2,Moderate_Damage,L2_S2,-1808,1108,14890,-198,23,-123,0,33.96
174,20:07:11:590,2,Moderate_Damage,L2_S2,-1826,1070,14860,-198,30,-130,0,3.96
175,20:07:11:600,2,Moderate_Damage,L2_S2,-1834,1056,14826,-188,30,-124,0,-30.04
176,20:07:11:610,2,Moderate_Damage,L2_S2,-1826,1122,14870,-190,24,-122,0,13.96
177,20:07:11:620,2,Moderate_Damage,L2_S2,-1768,1094,14900,-181,29,-127,0,43.96
178,20:07:11:630,2,Moderate_Damage,L2_S2,-1874,1044,14942,-190,30,-121,0,85.96
179,20:07:11:640,2,Moderate_Damage,L2_S2,-1832,1110,14898,-186,34,-122,0,41.96
180,20:07:11:650,2,Moderate_Damage,L2_S2,-1866,1078,14896,-189,21,-118,0,39.96
181,20:07:11:660,2,Moderate_Damage,L2_S2,-1806,1052,14846,-187,30,-123,0,-10.04
182,20:07:11:670,2,Moderate_Damage,L2_S2,-1768,1088,14864,-184,30,-115,0,7.96
183,20:07:11:680,2,Moderate_Damage,L2_S2,-1854,1056,14914,-190,26,-112,0,57.96
184,20:07:11:690,2,Moderate_Damage,L2_S2,-1820,1114,14880,-191,32,-123,0,23.96
185,20:07:11:700,2,Moderate_Damage,L2_S2,-1830,1070,14874,-188,28,-121,0,17.96
186,20:07:11:710,2,Moderate_Damage,L2_S2,-1836,1078,14842,-197,26,-125,0,-14.04
187,20:07:11:720,2,Moderate_Damage,L2_S2,-1814,1108,14838,-197,24,-125,0,-18.04
188,20:07:11:730,2,Moderate_Damage,L2_S2,-1894,1080,14888,-204,25,-122,0,31.96
189,20:07:11:740,2,Moderate_Damage,L2_S2,-1796,1064,14902,-195,29,-128,0,45.96
190,20:07:11:750,2,Moderate_Damage,L2_S2,-1858,1044,14864,-202,29,-127,0,7.96
191,20:07:11:760,2,Moderate_Damage,L2_S2,-1806,1102,14898,-197,33,-133,0,41.96
192,20:07:11:770,2,Moderate_Damage,L2_S2,-1784,1050,14808,-202,26,-123,0,-48.04
193,20:07:11:780,2,Moderate_Damage,L2_S2,-1840,1086,14880,-201,23,-117,0,23.96
194,20:07:11:790,2,Moderate_Damage,L2_S2,-1820,1094,14872,-189,31,-118,0,15.96
195,20:07:11:800,2,Moderate_Damage,L2_S2,-1820,1062,14824,-196,17,-116,0,-32.04
196,20:07:11:810,2,Moderate_Damage,L2_S2,-1794,1106,14848,-185,39,-121,0,-8.04
197,20:07:11:820,2,Moderate_Damage,L2_S2,-1816,1030,14838,-192,19,-117,0,-18.04
198,20:07:11:830,2,Moderate_Damage,L2_S2,-1876,1084,14872,-184,40,-112,0,15.96
199,20:07:11:840,2,Moderate_Damage,L2_S2,-1772,1062,14852,-194,25,-124,0,-4.04
200,20:07:11:850,2,Moderate_Damage,L2_S2,-1860,1080,14870,-186,31,-121,0,13.96
201,20:07:11:860,2,Moderate_Damage,L2_S2,-1852,1054,14788,-184,31,-119,0,-68.04
202,20:07:11:870,2,Moderate_Damage,L2_S2,-1794,1038,14810,-189,22,-122,0,-46.04
203,20:07:11:880,2,Moderate_Damage,L2_S2,-1806,1066,14850,-188,34,-121,0,-6.04
204,20:07:11:890,2,Moderate_Damage,L2_S2,-1824,1092,14836,-187,31,-123,0,-20.04
205,20:07:11:900,2,Moderate_Damage,L2_S2,-1790,1064,14886,-200,22,-122,0,29.96
206,20:07:11:910,2,Moderate_Damage,L2_S2,-1798,1110,14866,-191,35,-121,0,9.96
207,20:07:11:920,2,Moderate_Damage,L2_S2,-1824,1078,14866,-201,25,-122,0,9.96
208,20:07:11:930,2,Moderate_Damage,L2_S2,-1888,1094,14914,-191,31,-124,0,57.96
209,20:07:11:940,2,Moderate_Damage,L2_S2,-1850,1154,14886,-204,23,-125,0,29.96
210,20:07:11:950,2,Moderate_Damage,L2_S2,-1776,1114,14864,-192,28,-128,0,7.96
211,20:07:11:960,2,Moderate_Damage,L2_S2,-1832,1048,14796,-198,23,-128,0,-60.04
212,20:07:11:970,2,Moderate_Damage,L2_S2,-1844,1096,14794,-197,30,-128,0,-62.04
213,20:07:11:980,2,Moderate_Damage,L2_S2,-1820,1098,14860,-197,35,-122,0,3.96
214,20:07:11:990,2,Moderate_Damage,L2_S2,-1824,1088,14858,-193,28,-120,0,1.96
215,20:07:12:000,2,Moderate_Damage,L2_S2,-1778,1098,14848,-193,35,-125,0,-8.04
216,20:07:12:010,2,Moderate_Damage,L2_S2,-1886,1126,14852,-189,25,-122,0,-4.04
217,20:07:12:020,2,Moderate_Damage,L2_S2,-1812,1082,14822,-187,39,-123,0,-34.04
218,20:07:12:030,2,Moderate_Damage,L2_S2,-1852,1108,14794,-188,26,-120,0,-62.04
219,20:07:12:040,2,Moderate_Damage,L2_S2,-1812,1110,14864,-183,22,-127,0,7.96
220,20:07:12:050,2,Moderate_Damage,L2_S2,-1816,1100,14832,-187,35,-121,0,-24.04
221,20:07:12:060,2,Moderate_Damage,L2_S2,-1876,1114,14854,-182,35,-120,0,-2.04
222,20:07:12:070,2,Moderate_Damage,L2_S2,-1840,1112,14800,-191,23,-124,0,-56.04
223,20:07:12:080,2,Moderate_Damage,L2_S2,-1810,1114,14882,-192,29,-130,0,25.96
224,20:07:12:090,2,Moderate_Damage,L2_S2,-1856,1096,14808,-193,25,-124,0,-48.04
225,20:07:12:100,2,Moderate_Damage,L2_S2,-1788,1060,14862,-186,27,-121,0,5.96
226,20:07:12:110,2,Moderate_Damage,L2_S2,-1854,1094,14956,-198,24,-121,0,99.96
227,20:07:12:120,2,Moderate_Damage,L2_S2,-1826,1108,14824,-196,36,-127,0,-32.04
228,20:07:12:130,2,Moderate_Damage,L2_S2,-1808,1120,14820,-207,13,-118,0,-36.04
229,20:07:12:140,2,Moderate_Damage,L2_S2,-1828,1090,14820,-194,33,-122,0,-36.04
230,20:07:12:150,2,Moderate_Damage,L2_S2,-1848,1082,14798,-200,27,-122,0,-58.04
231,20:07:12:160,2,Moderate_Damage,L2_S2,-1806,1090,14858,-194,25,-118,0,1.96
232,20:07:12:170,2,Moderate_Damage,L2_S2,-1810,1082,14812,-200,28,-125,0,-44.04
233,20:07:12:180,2,Moderate_Damage,L2_S2,-1790,1036,14864,-190,32,-122,0,7.96
234,20:07:12:190,2,Moderate_Damage,L2_S2,-1852,1126,14860,-200,24,-121,0,3.96
235,20:07:12:200,2,Moderate_Damage,L2_S2,-1798,1092,14854,-182,37,-121,0,-2.04
236,20:07:12:210,2,Moderate_Damage,L2_S2,-1814,1072,14806,-193,29,-116,0,-50.04
237,20:07:12:220,2,Moderate_Damage,L2_S2,-1886,1094,14872,-179,38,-124,0,15.96
238,20:07:12:230,2,Moderate_Damage,L2_S2,-1810,1098,14888,-192,30,-118,0,31.96
239,20:07:12:240,2,Moderate_Damage,L2_S2,-1854,1108,14884,-184,26,-123,0,27.96
240,20:07:12:250,2,Moderate_Damage,L2_S2,-1852,1066,14902,-192,29,-121,0,45.96
241,20:07:12:260,2,Moderate_Damage,L2_S2,-1802,1096,14834,-178,31,-122,0,-22.04
242,20:07:12:270,2,Moderate_Damage,L2_S2,-1852,1102,14844,-193,27,-125,0,-12.04
243,20:07:12:280,2,Moderate_Damage,L2_S2,-1804,1116,14856,-186,27,-118,0,-0.04
244,20:07:12:290,2,Moderate_Damage,L2_S2,-1862,1114,14834,-196,31,-127,0,-22.04
245,20:07:12:300,2,Moderate_Damage,L2_S2,-1804,1092,14844,-188,23,-125,0,-12.04
246,20:07:12:310,2,Moderate_Damage,L2_S2,-1818,1042,14874,-196,25,-125,0,17.96
247,20:07:12:320,2,Moderate_Damage,L2_S2,-1818,1082,14844,-193,24,-125,0,-12.04
248,20:07:12:330,2,Moderate_Damage,L2_S2,-1788,1088,14864,-200,29,-117,0,7.96
249,20:07:12:340,2,Moderate_Damage,L2_S2,-1824,1092,14842,-195,27,-113,0,-14.04
250,20:07:12:350,2,Moderate_Damage,L2_S2,-1804,1104,14836,-197,33,-124,0,-20.04
251,20:07:12:360,2,Moderate_Damage,L2_S2,-1842,1052,14872,-196,24,-121,0,15.96
252,20:07:12:370,2,Moderate_Damage,L2_S2,-1814,1068,14954,-192,33,-129,0,97.96
253,20:07:12:380,2,Moderate_Damage,L2_S2,-1808,1080,14912,-195,18,-127,0,55.96
254,20:07:12:390,2,Moderate_Damage,L2_S2,-1802,1106,14838,-190,36,-127,0,-18.04
255,20:07:12:400,2,Moderate_Damage,L2_S2,-1790,1012,14886,-193,25,-121,0,29.96
256,20:07:12:410,2,Moderate_Damage,L2_S2,-1788,1090,14854,-192,18,-120,0,-2.04
257,20:07:12:420,2,Moderate_Damage,L2_S2,-1780,1090,14836,-193,39,-128,0,-20.04
258,20:07:12:430,2,Moderate_Damage,L2_S2,-1872,1132,14888,-193,14,-115,0,31.96
259,20:07:12:440,2,Moderate_Damage,L2_S2,-1788,1084,14852,-189,38,-125,0,-4.04
260,20:07:12:450,2,Moderate_Damage,L2_S2,-1822,1112,14840,-189,23,-117,0,-16.04
261,20:07:12:461,2,Moderate_Damage,L2_S2,-1820,1118,14848,-189,34,-120,0,-8.04
262,20:07:12:470,2,Moderate_Damage,L2_S2,-1762,1070,14924,-190,29,-117,0,67.96
263,20:07:12:480,2,Moderate_Damage,L2_S2,-1878,1100,14896,-190,22,-115,0,39.96
264,20:07:12:491,2,Moderate_Damage,L2_S2,-1784,1090,14906,-193,29,-125,0,49.96
265,20:07:12:500,2,Moderate_Damage,L2_S2,-1860,1104,14896,-195,19,-122,0,39.96
266,20:07:12:510,2,Moderate_Damage,L2_S2,-1828,1092,14836,-201,36,-125,0,-20.04
267,20:07:12:520,2,Moderate_Damage,L2_S2,-1872,1138,14754,-194,32,-122,0,-102.04
268,20:07:12:530,2,Moderate_Damage,L2_S2,-1824,1102,14812,-196,24,-117,0,-44.04
269,20:07:12:540,2,Moderate_Damage,L2_S2,-1802,1058,14896,-191,41,-126,0,39.96
270,20:07:12:550,2,Moderate_Damage,L2_S2,-1832,1046,14862,-202,17,-122,0,5.96
271,20:07:12:560,2,Moderate_Damage,L2_S2,-1780,1100,14820,-196,27,-124,0,-36.04
272,20:07:12:570,2,Moderate_Damage,L2_S2,-1806,1106,14806,-196,17,-120,0,-50.04
273,20:07:12:580,2,Moderate_Damage,L2_S2,-1806,1092,14882,-195,32,-120,0,25.96
274,20:07:12:590,2,Moderate_Damage,L2_S2,-1792,1098,14904,-190,30,-129,0,47.96
275,20:07:12:600,2,Moderate_Damage,L2_S2,-1858,1108,14880,-192,27,-125,0,23.96
276,20:07:12:610,2,Moderate_Damage,L2_S2,-1790,1076,14800,-190,35,-132,0,-56.04
277,20:07:12:620,2,Moderate_Damage,L2_S2,-1812,1112,14810,-182,24,-124,0,-46.04
278,20:07:12:630,2,Moderate_Damage,L2_S2,-1788,1084,14858,-189,25,-118,0,1.96
279,20:07:12:640,2,Moderate_Damage,L2_S2,-1802,1136,14858,-182,27,-116,0,1.96
280,20:07:12:650,2,Moderate_Damage,L2_S2,-1812,1114,14808,-197,21,-117,0,-48.04
281,20:07:12:660,2,Moderate_Damage,L2_S2,-1768,1104,14776,-183,45,-128,0,-80.04
282,20:07:12:670,2,Moderate_Damage,L2_S2,-1802,1110,14838,-199,12,-125,0,-18.04
283,20:07:12:680,2,Moderate_Damage,L2_S2,-1850,1112,14790,-178,44,-125,0,-66.04
284,20:07:12:690,2,Moderate_Damage,L2_S2,-1782,1050,14892,-195,19,-125,0,35.96
285,20:07:12:700,2,Moderate_Damage,L2_S2,-1794,1120,14804,-189,30,-124,0,-52.04
286,20:07:12:710,2,Moderate_Damage,L2_S2,-1870,1096,14804,-198,18,-124,0,-52.04
287,20:07:12:720,2,Moderate_Damage,L2_S2,-1848,1006,14874,-186,41,-121,0,17.96
288,20:07:12:730,2,Moderate_Damage,L2_S2,-1812,1060,14852,-204,32,-120,0,-4.04
289,20:07:12:740,2,Moderate_Damage,L2_S2,-1822,1078,14834,-192,29,-126,0,-22.04
290,20:07:12:750,2,Moderate_Damage,L2_S2,-1870,1058,14876,-200,28,-122,0,19.96
291,20:07:12:760,2,Moderate_Damage,L2_S2,-1858,1062,14830,-190,36,-128,0,-26.04
292,20:07:12:770,2,Moderate_Damage,L2_S2,-1828,1098,14870,-204,19,-129,0,13.96
293,20:07:12:780,2,Moderate_Damage,L2_S2,-1802,1116,14806,-187,30,-119,0,-50.04
294,20:07:12:790,2,Moderate_Damage,L2_S2,-1784,1092,14884,-195,24,-115,0,27.96
295,20:07:12:800,2,Moderate_Damage,L2_S2,-1846,1080,14850,-188,34,-118,0,-6.04
296,20:07:12:810,2,Moderate_Damage,L2_S2,-1848,1080,14794,-190,26,-118,0,-62.04
297,20:07:12:820,2,Moderate_Damage,L2_S2,-1796,1078,14892,-184,36,-125,0,35.96
298,20:07:12:830,2,Moderate_Damage,L2_S2,-1844,1116,14846,-189,33,-109,0,-10.04
299,20:07:12:840,2,Moderate_Damage,L2_S2,-1876,1088,14856,-187,25,-120,0,-0.04
300,20:07:12:850,2,Moderate_Damage,L2_S2,-1826,1102,14832,-185,29,-127,0,-24.04
301,20:07:12:860,2,Moderate_Damage,L2_S2,-1844,1126,14844,-187,26,-121,0,-12.04
302,20:07:12:870,2,Moderate_Damage,L2_S2,-1754,1110,14846,-186,25,-126,0,-10.04
303,20:07:12:880,2,Moderate_Damage,L2_S2,-1838,1112,14912,-187,34,-121,0,55.96
304,20:07:12:890,2,Moderate_Damage,L2_S2,-1832,1060,14916,-195,27,-125,0,59.96
305,20:07:12:900,2,Moderate_Damage,L2_S2,-1814,1086,14868,-191,35,-122,0,11.96
306,20:07:12:910,2,Moderate_Damage,L2_S2,-1836,1112,14834,-196,26,-125,0,-22.04
307,20:07:12:920,2,Moderate_Damage,L2_S2,-1818,1124,14790,-193,32,-122,0,-66.04
308,20:07:12:930,2,Moderate_Damage,L2_S2,-1802,1104,14828,-204,31,-126,0,-28.04
309,20:07:12:940,2,Moderate_Damage,L2_S2,-1876,1082,14826,-198,35,-126,0,-30.04
310,20:07:12:950,2,Moderate_Damage,L2_S2,-1772,1112,14892,-194,28,-127,0,35.96
311,20:07:12:960,2,Moderate_Damage,L2_S2,-1856,1076,14846,-195,26,-125,0,-10.04
312,20:07:12:970,2,Moderate_Damage,L2_S2,-1808,1084,14848,-195,35,-118,0,-8.04
313,20:07:12:980,2,Moderate_Damage,L2_S2,-1862,1096,14862,-200,24,-119,0,5.96
314,20:07:12:990,2,Moderate_Damage,L2_S2,-1838,1078,14858,-189,34,-120,0,1.96
315,20:07:13:000,2,Moderate_Damage,L2_S2,-1792,1062,14838,-191,24,-114,0,-18.04
316,20:07:13:010,2,Moderate_Damage,L2_S2,-1796,1070,14840,-190,29,-125,0,-16.04
317,20:07:13:020,2,Moderate_Damage,L2_S2,-1854,1090,14888,-184,33,-118,0,31.96
318,20:07:13:030,2,Moderate_Damage,L2_S2,-1860,1092,14876,-182,34,-118,0,19.96
319,20:07:13:040,2,Moderate_Damage,L2_S2,-1798,1064,14854,-192,32,-119,0,-2.04
320,20:07:13:050,2,Moderate_Damage,L2_S2,-1790,1104,14876,-190,38,-117,0,19.96
321,20:07:13:060,2,Moderate_Damage,L2_S2,-1850,1066,14884,-190,27,-113,0,27.96
322,20:07:13:070,2,Moderate_Damage,L2_S2,-1808,1104,14866,-187,31,-123,0,9.96
323,20:07:13:080,2,Moderate_Damage,L2_S2,-1864,1142,14912,-192,32,-120,0,55.96
324,20:07:13:090,2,Moderate_Damage,L2_S2,-1800,1086,14882,-200,35,-124,0,25.96
325,20:07:13:100,2,Moderate_Damage,L2_S2,-1832,1076,14854,-189,38,-118,0,-2.04
326,20:07:13:110,2,Moderate_Damage,L2_S2,-1768,1028,14876,-196,23,-126,0,19.96
327,20:07:13:120,2,Moderate_Damage,L2_S2,-1820,1088,14896,-189,35,-121,0,39.96
328,20:07:13:130,2,Moderate_Damage,L2_S2,-1866,1096,14850,-199,22,-124,0,-6.04
329,20:07:13:140,2,Moderate_Damage,L2_S2,-1822,1080,14834,-192,36,-119,0,-22.04
330,20:07:13:150,2,Moderate_Damage,L2_S2,-1812,1080,14832,-205,27,-123,0,-24.04
331,20:07:13:160,2,Moderate_Damage,L2_S2,-1824,1074,14880,-198,32,-121,0,23.96
332,20:07:13:170,2,Moderate_Damage,L2_S2,-1778,1076,14918,-197,23,-116,0,61.96
333,20:07:13:180,2,Moderate_Damage,L2_S2,-1772,1062,14840,-191,19,-123,0,-16.04
334,20:07:13:190,2,Moderate_Damage,L2_S2,-1820,1092,14886,-191,16,-115,0,29.96
335,20:07:13:200,2,Moderate_Damage,L2_S2,-1864,1090,14906,-192,30,-116,0,49.96
336,20:07:13:210,2,Moderate_Damage,L2_S2,-1820,1114,14846,-195,23,-113,0,-10.04
337,20:07:13:220,2,Moderate_Damage,L2_S2,-1814,1092,14900,-187,33,-128,0,43.96
338,20:07:13:230,2,Moderate_Damage,L2_S2,-1804,1062,14840,-196,12,-129,0,-16.04
339,20:07:13:240,2,Moderate_Damage,L2_S2,-1814,1028,14880,-186,48,-125,0,23.96
340,20:07:13:251,2,Moderate_Damage,L2_S2,-1864,1072,14862,-190,23,-121,0,5.96
341,20:07:13:260,2,Moderate_Damage,L2_S2,-1842,1086,14844,-189,54,-128,0,-12.04
342,20:07:13:270,2,Moderate_Damage,L2_S2,-1814,1088,14826,-195,23,-116,0,-30.04
343,20:07:13:280,2,Moderate_Damage,L2_S2,-1792,1080,14940,-196,31,-117,0,83.96
344,20:07:13:290,2,Moderate_Damage,L2_S2,-1838,1122,14916,-190,40,-121,0,59.96
345,20:07:13:300,2,Moderate_Damage,L2_S2,-1796,1054,14904,-193,36,-125,0,47.96
346,20:07:13:310,2,Moderate_Damage,L2_S2,-1806,1062,14828,-194,37,-118,0,-28.04
347,20:07:13:320,2,Moderate_Damage,L2_S2,-1844,1042,14794,-192,43,-122,0,-62.04
348,20:07:13:330,2,Moderate_Damage,L2_S2,-1808,1078,14904,-189,33,-126,0,47.96
349,20:07:13:340,2,Moderate_Damage,L2_S2,-1824,1080,14864,-184,44,-119,0,7.96
350,20:07:13:350,2,Moderate_Damage,L2_S2,-1834,1102,14778,-188,20,-121,0,-78.04
351,20:07:13:360,2,Moderate_Damage,L2_S2,-1838,1094,14816,-176,42,-118,0,-40.04
352,20:07:13:370,2,Moderate_Damage,L2_S2,-1842,1092,14904,-187,25,-119,0,47.96
353,20:07:13:380,2,Moderate_Damage,L2_S2,-1796,1058,14830,-185,30,-124,0,-26.04
354,20:07:13:390,2,Moderate_Damage,L2_S2,-1812,1102,14814,-189,32,-124,0,-42.04
355,20:07:13:400,2,Moderate_Damage,L2_S2,-1844,1100,14880,-193,22,-116,0,23.96
356,20:07:13:411,2,Moderate_Damage,L2_S2,-1796,1110,14832,-189,39,-119,0,-24.04
357,20:07:13:420,2,Moderate_Damage,L2_S2,-1868,1066,14860,-194,21,-118,0,3.96
358,20:07:13:430,2,Moderate_Damage,L2_S2,-1798,1076,14852,-189,36,-128,0,-4.04
359,20:07:13:440,2,Moderate_Damage,L2_S2,-1806,1096,14858,-200,17,-118,0,1.96
360,20:07:13:450,2,Moderate_Damage,L2_S2,-1798,1108,14800,-200,29,-118,0,-56.04
361,20:07:13:460,2,Moderate_Damage,L2_S2,-1774,1046,14844,-202,21,-125,0,-12.04
362,20:07:13:470,2,Moderate_Damage,L2_S2,-1826,1126,14890,-198,20,-124,0,33.96
363,20:07:13:480,2,Moderate_Damage,L2_S2,-1776,1076,14828,-196,24,-128,0,-28.04
364,20:07:13:490,2,Moderate_Damage,L2_S2,-1848,1078,14860,-194,30,-120,0,3.96
365,20:07:13:500,2,Moderate_Damage,L2_S2,-1828,1100,14856,-198,29,-122,0,-0.04
366,20:07:13:510,2,Moderate_Damage,L2_S2,-1806,1082,14858,-194,30,-123,0,1.96
367,20:07:13:520,2,Moderate_Damage,L2_S2,-1822,1086,14822,-200,16,-115,0,-34.04
368,20:07:13:530,2,Moderate_Damage,L2_S2,-1786,1106,14866,-189,30,-124,0,9.96
369,20:07:13:540,2,Moderate_Damage,L2_S2,-1820,1084,14880,-190,29,-119,0,23.96
370,20:07:13:550,2,Moderate_Damage,L2_S2,-1764,1086,14862,-190,35,-118,0,5.96
371,20:07:13:560,2,Moderate_Damage,L2_S2,-1794,1106,14838,-194,25,-117,0,-18.04
372,20:07:13:570,2,Moderate_Damage,L2_S2,-1808,1102,14906,-186,38,-121,0,49.96
373,20:07:13:580,2,Moderate_Damage,L2_S2,-1850,1096,14918,-192,24,-119,0,61.96
374,20:07:13:590,2,Moderate_Damage,L2_S2,-1822,1104,14872,-185,31,-119,0,15.96
375,20:07:13:600,2,Moderate_Damage,L2_S2,-1820,1064,14776,-190,36,-120,0,-80.04
376,20:07:13:610,2,Moderate_Damage,L2_S2,-1842,1076,14814,-187,35,-121,0,-42.04
377,20:07:13:620,2,Moderate_Damage,L2_S2,-1840,1098,14848,-194,39,-120,0,-8.04
378,20:07:13:630,2,Moderate_Damage,L2_S2,-1808,1050,14834,-187,34,-119,0,-22.04
379,20:07:13:640,2,Moderate_Damage,L2_S2,-1810,1076,14860,-187,23,-118,0,3.96
380,20:07:13:650,2,Moderate_Damage,L2_S2,-1824,1110,14898,-185,45,-122,0,41.96
381,20:07:13:660,2,Moderate_Damage,L2_S2,-1884,1056,14852,-197,15,-122,0,-4.04
382,20:07:13:670,2,Moderate_Damage,L2_S2,-1778,1118,14772,-189,53,-123,0,-84.04
383,20:07:13:680,2,Moderate_Damage,L2_S2,-1838,1086,14838,-195,24,-126,0,-18.04
384,20:07:13:690,2,Moderate_Damage,L2_S2,-1818,1102,14888,-191,28,-128,0,31.96
385,20:07:13:700,2,Moderate_Damage,L2_S2,-1838,1094,14848,-193,35,-130,0,-8.04
386,20:07:13:710,2,Moderate_Damage,L2_S2,-1830,1100,14852,-193,22,-125,0,-4.04
387,20:07:13:720,2,Moderate_Damage,L2_S2,-1832,1144,14844,-199,41,-129,0,-12.04
388,20:07:13:730,2,Moderate_Damage,L2_S2,-1838,1116,14834,-192,16,-122,0,-22.04
389,20:07:13:740,2,Moderate_Damage,L2_S2,-1840,1090,14854,-190,42,-131,0,-2.04
390,20:07:13:750,2,Moderate_Damage,L2_S2,-1802,1078,14786,-194,19,-124,0,-70.04
391,20:07:13:760,2,Moderate_Damage,L2_S2,-1820,1090,14912,-192,28,-120,0,55.96
392,20:07:13:771,2,Moderate_Damage,L2_S2,-1800,1090,14826,-188,25,-113,0,-30.04
393,20:07:13:780,2,Moderate_Damage,L2_S2,-1854,1084,14934,-195,16,-117,0,77.96
394,20:07:13:790,2,Moderate_Damage,L2_S2,-1810,1034,14866,-186,29,-122,0,9.96
395,20:07:13:800,2,Moderate_Damage,L2_S2,-1816,1088,14844,-190,31,-120,0,-12.04
396,20:07:13:810,2,Moderate_Damage,L2_S2,-1850,1054,14846,-191,17,-119,0,-10.04
397,20:07:13:820,2,Moderate_Damage,L2_S2,-1788,1090,14826,-190,22,-119,0,-30.04
398,20:07:13:830,2,Moderate_Damage,L2_S2,-1870,1080,14868,-197,15,-120,0,11.96
399,20:07:13:840,2,Moderate_Damage,L2_S2,-1824,1056,14798,-192,33,-125,0,-58.04
400,20:07:13:850,2,Moderate_Damage,L2_S2,-1812,1072,14896,-199,22,-122,0,39.96
401,20:07:13:860,2,Moderate_Damage,L2_S2,-1798,1180,14900,-197,30,-119,0,43.96
402,20:07:13:870,2,Moderate_Damage,L2_S2,-1806,1132,14862,-200,33,-125,0,5.96
403,20:07:13:880,2,Moderate_Damage,L2_S2,-1828,1084,14884,-198,29,-119,0,27.96
