sample_id,session,damage_level,damage_label,RMS,Std,Kurtosis,Skewness,Peak,Crest_Factor,Shape_Factor,Energy,Natural_Freq,Spec_Centroid,Band_Low,Band_Natural,Band_High,Spec_Entropy,AR1,AR2,AR_Resid_Std,Corr_XZ,Corr_YZ
100,L0_S1,0,Healthy,36.746,36.746,0.284,0.0894,117.11,3.187,1.2728,270053.58,5.5,25.0931,0.170255,0.292673,0.536759,4.1853,-0.015329,-0.040938,36.7161,-0.0324,-0.0674
200,L0_S1,0,Healthy,35.7869,35.7869,0.1946,-0.2487,114.03,3.1864,1.2917,256139.82,9.5,24.5559,0.112733,0.42191,0.462421,4.1621,0.050719,-0.063395,35.8121,-0.0875,-0.0001
300,L0_S1,0,Healthy,36.8405,36.8405,-0.228,-0.1209,101.97,2.7679,1.2569,271443.82,47.0,24.5019,0.168279,0.331743,0.4963,4.1629,0.031181,0.029949,36.9657,0.014,0.0067
400,L0_S1,0,Healthy,38.1313,38.1313,0.1115,0.0681,115.04,3.0169,1.2737,290799.68,2.0,26.222,0.174947,0.198501,0.620426,4.17,-0.114721,0.119818,37.573,0.1892,-0.0977
500,L0_S1,0,Healthy,39.8381,39.8381,0.2009,-0.14,117.41,2.9472,1.2815,317414.38,46.0,25.8611,0.177463,0.225062,0.588606,4.1329,-0.106601,0.247002,38.1016,0.2164,-0.1113
600,L0_S1,0,Healthy,39.6055,39.6055,0.0015,-0.1814,121.75,3.0741,1.2344,313719.5,46.0,25.6304,0.155031,0.27683,0.560664,4.1085,-0.100521,0.213613,38.0214,0.1201,-0.0929
700,L0_S1,0,Healthy,36.2131,36.2131,-0.0785,-0.0943,118.91,3.2836,1.2331,262278.38,1.0,25.5927,0.205318,0.265354,0.529162,4.1616,-0.018755,0.12272,35.5654,0.1104,0.0225
800,L0_S1,0,Healthy,36.3169,36.3169,-0.2375,0.024,102.0,2.8086,1.2454,263784.0,46.5,24.937,0.175737,0.284783,0.528307,4.1539,-0.054342,0.153487,35.925,0.3098,-0.0424
900,L0_S1,0,Healthy,39.2347,39.2347,0.0061,0.0288,117.04,2.9831,1.2432,307871.68,47.0,26.3314,0.115102,0.300456,0.578329,4.1192,-0.151654,0.036271,38.5911,0.2649,-0.1784
1000,L0_S1,0,Healthy,38.0752,38.0752,0.4708,-0.1015,114.37,3.0038,1.2683,289944.62,29.0,25.2585,0.163443,0.275885,0.54356,4.2693,-0.033648,0.076407,38.1099,0.1247,-0.1324
1100,L0_S1,0,Healthy,34.9945,34.9945,0.0916,0.0581,111.79,3.1945,1.2508,244923.18,1.0,25.009,0.194021,0.297773,0.506453,4.1627,0.012766,0.102043,34.9514,0.174,-0.2244
1200,L0_S1,0,Healthy,36.7202,36.7202,0.4758,-0.254,127.71,3.4779,1.2655,269675.18,5.5,24.5116,0.133141,0.401362,0.45988,4.2347,0.028474,-0.027498,36.7473,0.2149,-0.1351
1300,L0_S1,0,Healthy,37.5685,37.5685,0.4786,-0.3262,127.09,3.3829,1.2816,282278.38,14.0,22.9621,0.156113,0.422896,0.389136,4.1685,0.134268,0.019102,37.3944,0.228,-0.0327
1400,L0_S1,0,Healthy,38.2865,38.2865,-0.0043,-0.0246,110.01,2.8733,1.2732,293171.98,46.0,24.4196,0.15109,0.400602,0.444098,4.0587,-0.005563,0.061332,37.9795,0.2049,-0.2192
1500,L0_S1,0,Healthy,41.2887,41.2887,0.0398,0.0848,132.79,3.2161,1.2666,340951.18,5.0,24.2601,0.190156,0.375807,0.428804,4.1135,0.066438,0.115925,41.0696,0.0988,-0.1389
1600,L0_S1,0,Healthy,5757.0373,5757.0373,9.1923,-1.3609,37181.46,6.4584,1.9669,6628695701.68,5.0,17.2155,0.739917,0.179099,0.077699,2.886,0.841275,-0.093212,3682.562,0.008,0.9073
1700,L0_S1,0,Healthy,6888.7576,6888.7576,3.2133,-0.7938,37122.81,5.3889,1.2976,9490996192.78,5.0,17.0655,0.823633,0.122136,0.053864,1.984,0.944764,-0.145118,3871.3826,-0.0984,0.9308
1800,L0_S1,0,Healthy,4402.7434,4402.7434,-1.0268,-0.04,9018.85,2.0485,1.1542,3876829819.5,5.0,9.5575,0.98877,0.008492,0.001744,0.7677,1.881717,-0.975955,217.2748,-0.9338,0.9963
1900,L0_S1,0,Healthy,2619.0164,2619.0164,-1.0153,-0.0404,5503.0,2.1012,1.1568,1371849400.0,5.0,6.4068,0.996123,0.001987,0.000128,0.5414,1.889571,-0.985093,91.1197,-0.9951,0.9972
2000,L0_S1,0,Healthy,1554.2272,1554.2272,-1.002,-0.0346,3251.43,2.092,1.1566,483124467.02,5.0,7.8647,0.995653,0.003141,0.000628,0.5499,1.876359,-0.973856,90.3485,-0.991,0.9958
2100,L0_S1,0,Healthy,924.972,924.972,-0.9981,-0.0337,1916.03,2.0714,1.1598,171114627.82,5.0,8.6361,0.993912,0.004023,0.001148,0.5719,1.847638,-0.943805,87.3495,-0.9799,0.9901
2200,L0_S1,0,Healthy,552.5168,552.5168,-1.028,-0.0316,1200.17,2.1722,1.1576,61054966.22,5.0,10.7917,0.98891,0.006552,0.003395,0.5254,1.763401,-0.862069,88.029,-0.9241,0.9706
2300,L0_S1,0,Healthy,338.2579,338.2579,-1.0399,0.0047,753.29,2.227,1.1548,22883679.18,5.0,13.185,0.982686,0.008778,0.008367,0.5732,1.565302,-0.671086,86.6672,-0.8186,0.9203
2400,L0_S1,0,Healthy,208.1153,208.1153,-1.0209,-0.0601,446.95,2.1476,1.1589,8662399.5,5.0,16.3798,0.964312,0.012813,0.02277,0.6912,1.184761,-0.303514,81.1858,-0.7107,0.8061
2500,L0_S1,0,Healthy,128.3135,128.3135,-0.8264,-0.1217,316.27,2.4648,1.1837,3292869.42,5.0,17.8393,0.907899,0.047484,0.044326,1.0844,0.895862,-0.047987,64.1309,-0.5025,0.6286
2600,L0_S1,0,Healthy,84.3625,84.3625,-0.9495,-0.1566,192.63,2.2834,1.1669,1423404.62,5.0,19.9952,0.833957,0.075343,0.086503,1.3698,0.727687,0.072971,51.7509,-0.3094,0.3929
2700,L0_S1,0,Healthy,65.8003,65.8003,-0.48,-0.1872,160.79,2.4436,1.2465,865935.18,5.0,21.7486,0.709895,0.131835,0.155922,2.1345,0.503943,0.202392,49.6566,-0.2043,0.1645
2800,L0_S1,0,Healthy,49.2616,49.2616,-0.357,-0.2024,123.7,2.5111,1.242,485342.0,5.0,23.6944,0.47514,0.210044,0.311416,3.1322,0.248791,0.247752,44.7461,0.0049,-0.0369
2900,L0_S1,0,Healthy,42.1356,42.1356,-0.4601,-0.1004,113.33,2.6896,1.2186,355082.22,5.0,25.1821,0.323764,0.232027,0.438971,3.7098,0.07033,0.199507,40.9296,0.188,-0.1683
3000,L0_S1,0,Healthy,1059.1489,1059.1489,165.2351,-12.5617,14336.37,13.5357,4.8832,224359288.62,3.5,23.5067,0.275068,0.268346,0.434786,4.5079,-1.292168,4.096487,550.8074,0.7869,-0.7973
3100,L0_S1,0,Healthy,5660.8286,5660.8286,1.5016,-0.1022,22697.355,4.0095,1.5727,6408996197.795,5.0,19.9334,0.824489,0.068629,0.106443,2.364,0.551194,0.267116,3628.3825,-0.6172,0.2781
