sample_id,timestamp,damage_level,damage_label,session,ax,ay,az,gx,gy,gz,sw420,az_zeroed
158,20:02:49:936,2,Moderate_Damage,L2_S1,-1758,1068,14862,-186,29,-118,0,-0.17
159,20:02:49:946,2,Moderate_Damage,L2_S1,-1724,1032,14826,-198,34,-118,0,-36.17
160,20:02:49:956,2,Moderate_Damage,L2_S1,-1768,1110,14780,-186,34,-119,0,-82.17
161,20:02:49:965,2,Moderate_Damage,L2_S1,-1760,1074,14862,-188,27,-117,0,-0.17
162,20:02:49:975,2,Moderate_Damage,L2_S1,-1742,1038,14886,-197,30,-128,0,23.83
163,20:02:49:985,2,Moderate_Damage,L2_S1,-1778,1148,14880,-186,28,-118,0,17.83
164,20:02:49:996,2,Moderate_Damage,L2_S1,-1716,1100,14956,-193,32,-131,0,93.83
165,20:02:50:006,2,Moderate_Damage,L2_S1,-1752,1098,14774,-189,32,-122,0,-88.17
166,20:02:50:016,2,Moderate_Damage,L2_S1,-1736,1006,14958,-199,36,-125,0,95.83
167,20:02:50:026,2,Moderate_Damage,L2_S1,-1706,1066,14886,-187,31,-119,0,23.83
168,20:02:50:036,2,Moderate_Damage,L2_S1,-1726,1064,14830,-191,29,-125,0,-32.17
169,20:02:50:046,2,Moderate_Damage,L2_S1,-1708,1050,14846,-189,35,-126,0,-16.17
170,20:02:50:056,2,Moderate_Damage,L2_S1,-1762,1102,14874,-191,29,-115,0,11.83
171,20:02:50:066,2,Moderate_Damage,L2_S1,-1706,1092,14874,-181,30,-119,0,11.83
172,20:02:50:076,2,Moderate_Damage,L2_S1,-1722,1046,14938,-186,34,-126,0,75.83
173,20:02:50:086,2,Moderate_Damage,L2_S1,-1758,1096,14848,-195,31,-120,0,-14.17
174,20:02:50:096,2,Moderate_Damage,L2_S1,-1732,1072,14936,-187,40,-126,0,73.83
175,20:02:50:106,2,Moderate_Damage,L2_S1,-1778,1086,14854,-192,28,-125,0,-8.17
176,20:02:50:116,2,Moderate_Damage,L2_S1,-1724,1098,14868,-188,34,-127,0,5.83
177,20:02:50:126,2,Moderate_Damage,L2_S1,-1728,1124,14856,-194,17,-120,0,-6.17
178,20:02:50:136,2,Moderate_Damage,L2_S1,-1732,1086,14842,-189,26,-115,0,-20.17
179,20:02:50:146,2,Moderate_Damage,L2_S1,-1702,1088,14812,-195,29,-122,0,-50.17
180,20:02:50:156,2,Moderate_Damage,L2_S1,-1768,1090,14856,-191,26,-118,0,-6.17
181,20:02:50:166,2,Moderate_Damage,L2_S1,-1708,1102,14866,-194,33,-122,0,3.83
182,20:02:50:176,2,Moderate_Damage,L2_S1,-1748,1080,14814,-191,24,-120,0,-48.17
183,20:02:50:186,2,Moderate_Damage,L2_S1,-1740,1066,14886,-191,23,-126,0,23.83
184,20:02:50:196,2,Moderate_Damage,L2_S1,-1730,1064,14832,-190,28,-129,0,-30.17
185,20:02:50:206,2,Moderate_Damage,L2_S1,-1726,1010,14866,-193,25,-118,0,3.83
186,20:02:50:216,2,Moderate_Damage,L2_S1,-1750,1066,14912,-195,27,-120,0,49.83
187,20:02:50:226,2,Moderate_Damage,L2_S1,-1740,1066,14888,-186,32,-124,0,25.83
188,20:02:50:236,2,Moderate_Damage,L2_S1,-1744,1110,14936,-193,28,-120,0,73.83
189,20:02:50:246,2,Moderate_Damage,L2_S1,-1742,1066,14874,-183,37,-118,0,11.83
190,20:02:50:256,2,Moderate_Damage,L2_S1,-1752,1030,14912,-200,28,-125,0,49.83
191,20:02:50:266,2,Moderate_Damage,L2_S1,-1760,1074,14888,-180,48,-118,0,25.83
192,20:02:50:276,2,Moderate_Damage,L2_S1,-1668,1074,14844,-199,15,-121,0,-18.17
193,20:02:50:286,2,Moderate_Damage,L2_S1,-1756,1074,14832,-188,37,-123,0,-30.17
194,20:02:50:296,2,Moderate_Damage,L2_S1,-1726,1074,14832,-194,21,-126,0,-30.17
195,20:02:50:306,2,Moderate_Damage,L2_S1,-1774,1130,14914,-188,38,-115,0,51.83
196,20:02:50:316,2,Moderate_Damage,L2_S1,-1784,1080,14854,-198,29,-127,0,-8.17
197,20:02:50:326,2,Moderate_Damage,L2_S1,-1704,1096,14888,-189,39,-122,0,25.83
198,20:02:50:336,2,Moderate_Damage,L2_S1,-1710,1106,14850,-187,35,-122,0,-12.17
199,20:02:50:346,2,Moderate_Damage,L2_S1,-1746,1026,14914,-196,29,-127,0,51.83
200,20:02:50:356,2,Moderate_Damage,L2_S1,-1746,1064,14852,-191,27,-124,0,-10.17
201,20:02:50:366,2,Moderate_Damage,L2_S1,-1736,1048,14960,-200,23,-120,0,97.83
202,20:02:50:376,2,Moderate_Damage,L2_S1,-1716,1050,14884,-190,30,-116,0,21.83
203,20:02:50:386,2,Moderate_Damage,L2_S1,-1750,1066,14850,-201,23,-125,0,-12.17
204,20:02:50:396,2,Moderate_Damage,L2_S1,-1768,1096,14928,-187,32,-118,0,65.83
205,20:02:50:406,2,Moderate_Damage,L2_S1,-1746,1050,14894,-201,29,-128,0,31.83
206,20:02:50:416,2,Moderate_Damage,L2_S1,-1748,1110,14838,-187,28,-119,0,-24.17
207,20:02:50:426,2,Moderate_Damage,L2_S1,-1750,1010,14882,-195,29,-119,0,19.83
208,20:02:50:436,2,Moderate_Damage,L2_S1,-1726,1066,14820,-182,34,-118,0,-42.17
209,20:02:50:446,2,Moderate_Damage,L2_S1,-1712,1082,14894,-195,23,-125,0,31.83
210,20:02:50:456,2,Moderate_Damage,L2_S1,-1726,1080,14888,-185,37,-130,0,25.83
211,20:02:50:466,2,Moderate_Damage,L2_S1,-1750,1100,14866,-195,14,-117,0,3.83
212,20:02:50:476,2,Moderate_Damage,L2_S1,-1746,1074,14808,-189,32,-119,0,-54.17
213,20:02:50:486,2,Moderate_Damage,L2_S1,-1754,1064,14822,-194,24,-118,0,-40.17
214,20:02:50:496,2,Moderate_Damage,L2_S1,-1724,1072,14880,-196,34,-123,0,17.83
