time_unit,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,acc_mag,mean_ax,std_ax,rms_ax,min_ax,max_ax,range_ax,mean_ay,std_ay,rms_ay,min_ay,max_ay,range_ay,mean_az,std_az,rms_az,min_az,max_az,range_az,mean_acc_mag,std_acc_mag,rms_acc_mag,energy_acc_mag
1,24,-292,15120,-141,86,-74,15122.8383579274,79.84,48.5565072879012,93.4460272028726,-28,216,244,-291.68,54.8909610045224,296.8,-456,-192,264,15153.2,72.2495674727538,15153.3722398679,14900,15304,15156.3935559204,15156.3935559204,72.4363034279,15156.5666507953,11486075632
2,84,-204,15084,-120,76,-107,15085.6132788826,91.36,49.9815005777137,104.138369489828,-16,220,236,-296.56,50.3047353635818,300.7962765727,-412,-180,232,15129.84,74.8938876010586,15130.0253641559,14984,15292,15133.1885052284,15133.1885052284,74.8089915856733,15133.3734084638,11450949536
3,32,-272,15100,-122,89,-93,15102.4835043777,70.96,45.3523803123938,84.2149630410178,-12,180,192,-297.12,61.0732805734226,303.331897432499,-428,-176,252,15153.6,82.8376725892272,15153.8264157935,14972,15388,15156.8694087743,15156.8694087743,82.8683616426706,15157.0959434847,11486877872
4,36,-256,15192,-123,86,-103,15194.1994195153,91.04,51.3719612239985,104.534013603229,-76,208,284,-303.04,50.8774842145325,307.28123925811,-388,-172,216,15143.68,70.5218944725679,15143.8442041643,14980,15288,15147.1575078954,15147.1575078954,70.6104171416545,15147.3220867584,11472068320
5,36,-360,15172,-112,71,-105,15176.3131227581,82.64,45.7304100134692,94.4491397525674,-12,180,192,-296.96,53.6093126238343,301.760169671214,-464,-192,272,15152.08,76.9643657805351,15152.2754674009,15008,15368,15155.379760377,15155.379760377,76.7854071709386,15155.574277473,11484571584
6,112,-272,15240,-128,69,-107,15242.8385807893,69.6,48.6160467335632,84.8980565148579,-20,180,200,-310.8,56.7281235367432,315.934676792529,-472,-196,276,15152.96,75.2576800067608,15153.1468837334,14964,15300,15156.492010167,15156.492010167,75.052153493839,15156.6778312399,11486244144
7,20,-332,15224,-123,74,-92,15227.6327772901,96.88,47.7546395651773,108.010369872527,-16,228,244,-298.08,44.8802139032336,301.439745222822,-412,-184,228,15152.48,84.0709795351523,15152.71322503,14912,15328,15155.8637980005,15155.8637980005,83.9212515363633,15156.0961411572,11485362512
8,88,-272,15096,-124,75,-89,15098.7066995819,76.4,49.0110191691624,90.7691577574674,-36,200,236,-300.48,49.3389258091418,304.503793079824,-412,-176,236,15137.68,67.3431332802388,15137.8297942605,14996,15268,15141.0140124935,15141.0140124935,67.4325846671775,15141.1641718859,11462742624
9,80,-288,15176,-118,74,-114,15178.9433097301,78,54.864195975153,95.3628858623731,-24,232,256,-311.68,52.9442876994299,316.144776961442,-420,-172,248,15146.08,69.283140806404,15146.2384610833,15008,15348,15149.6786731177,15149.6786731177,69.406204922058,15149.8376598563,11475879056
10,196,-264,15180,-95,94,-100,15183.5605837366,78.8,53.0675041809957,95.0031578422528,-48,204,252,-303.84,47.8862652542459,307.590376962609,-436,-204,232,15143.92,67.3117642021066,15144.0695930783,15004,15288,15147.3408245634,15147.3408245634,67.4331114041364,15147.490923582,11472324064
