time,ax,ay,az,gx,gy,gz,sw420
23:58:03:037,21.65240176,4.677045935,65.75813471,-171.100413,74.90808946,-157.9169616,0
23:58:03:039,102.4954414,-34.24907665,227.1242909,-152.9307991,58.56813696,-111.5703167,0
23:58:03:040,173.0976167,-110.9117845,235.5108819,-143.9742563,78.51159279,-116.884754,0
23:58:03:045,76.17299768,-6.377945847,59.14568999,-135.3417439,75.59887224,-111.3931775,0
23:58:03:046,83.70550766,24.03814964,67.74083624,-147.8328192,55.08360166,-122.1286469,0
23:58:03:047,168.0000058,-55.25213021,338.9205358,-166.8094201,53.49088735,-124.6123181,0
23:58:03:048,79.94423969,-29.87218795,265.0762556,-159.6143878,51.76918474,-120.1795793,0
23:58:03:052,39.99665033,-32.15315974,4.07646915,-148.6790186,68.94115943,-133.2941634,0
23:58:03:205,81.33598912,-60.55822553,157.4911515,-134.8283922,101.4571165,-113.0086571,0
23:58:03:456,132.0879112,-9.996548891,268.483827,-142.219773,81.31450382,-121.9324927,0
23:58:03:708,151.6612865,31.71904421,107.1014749,-171.6621443,56.12750669,-138.4405848,0
23:58:03:960,77.57017185,-46.9830109,65.47527623,-166.4964494,73.80410391,-122.403794,0
23:58:04:213,128.3162259,-78.62220689,110.5759157,-162.7961826,71.70508426,-128.2999469,0
23:58:04:465,125.5720962,-14.89806025,127.4281436,-151.2480533,64.10739306,-113.6397027,0
23:58:04:718,32.91984187,-38.59479651,66.43228197,-123.7781452,65.12928447,-108.7995747,0
23:58:04:970,113.932993,-42.7111972,36.37593503,-159.093089,50.41621821,-123.6654743,0
23:58:05:222,43.61611051,-1.958746329,110.3046531,-179.8382432,59.052168,-111.9247618,0
23:58:05:474,-11.60698698,2.193735564,77.91334255,-149.5344337,68.94597794,-113.8888785,0
23:58:05:726,102.9154525,-5.185127255,40.81786629,-151.2621449,59.14849505,-121.0265781,0
23:58:05:980,67.92406238,-25.86551638,119.9796256,-154.9661095,67.7444204,-127.8132639,0
23:58:06:231,46.29070506,-92.64824169,110.8887535,-150.1020574,62.7573567,-132.2198936,0
23:58:06:484,9.799624354,-122.055469,22.56312039,-152.3658982,53.6838994,-114.3772144,0
23:58:06:736,-7.642914112,-64.08698941,26.98214262,-161.9174668,62.52706018,-105.6226778,0
23:58:06:988,39.85329431,-59.88333217,22.25807933,-172.4264346,49.3752747,-113.7913857,0
23:58:07:241,-3.426045739,6.903724715,-28.86053924,-156.7442606,35.42141576,-124.2517925,0
23:58:07:493,-9.162034674,2.746750551,65.12399998,-167.8573033,39.53474224,-131.4099137,0
23:58:07:745,-27.32816521,-97.12510525,141.428068,-187.8075705,51.24100076,-137.0735747,0
23:58:07:998,10.74686804,14.19622571,30.97580338,-172.3729419,56.69151629,-150.3917838,0
23:58:08:250,87.2878153,16.28170506,-39.48515571,-163.9429852,53.42791726,-144.1481674,0
23:58:08:502,23.68095048,-25.51838805,-6.832200907,-148.5439499,66.31620984,-114.4335436,0
23:58:08:755,-10.22492746,68.88840767,51.71497915,-151.4117409,67.49583244,-116.4976285,0
23:58:09:008,24.4688649,6.346860003,49.6482124,-169.0213109,56.55855965,-128.6172407,0
23:58:09:259,57.4714281,-72.79152616,16.69255625,-146.680639,62.98662567,-127.7636869,0
23:58:09:512,-6.62039375,-46.19628077,77.81092067,-143.3919364,60.67959202,-134.3864161,0
23:58:09:764,-62.40180749,-8.305984539,60.26038052,-164.2385674,55.39266731,-117.503156,0
23:58:10:016,29.25944101,-37.96191785,91.33817658,-161.9417694,76.93593777,-119.4916769,0
23:58:10:269,37.20492559,-25.65157391,199.7228093,-157.3228673,95.16627675,-129.8224857,0
23:58:10:520,11.70777109,80.00487819,64.07005495,-154.9397037,65.59024277,-98.79594794,0
23:58:10:773,24.30778571,47.93632228,-11.81615326,-160.1920075,53.38372036,-106.6067342,0
23:58:11:026,2.146896977,2.108605518,45.04647792,-176.3215134,95.13522513,-128.7151398,0
23:58:11:278,26.72557035,2.323655982,32.90433908,-165.6224263,78.14620212,-125.2800006,0
23:58:11:530,47.89660997,-10.00933017,86.20250888,-152.7953192,37.12389841,-137.1000632,0
23:58:11:782,41.71274076,46.958855,64.46308555,-173.4379977,64.44083022,-127.8991589,0
23:58:12:035,3.018680678,-18.81378282,-36.46369641,-168.0150966,71.47633043,-109.6737086,0
23:58:12:287,-9.126297622,-124.5314789,38.08268531,-139.2855919,67.27220309,-129.2081581,0
23:58:12:540,37.77691736,-50.15815965,117.8404015,-151.1275613,85.12003671,-136.6273479,0
23:58:12:792,25.32987792,13.16077495,-4.485814667,-176.5070054,69.12097936,-116.580637,0
23:58:13:047,22.4934414,27.20323644,-75.99419134,-166.9435854,80.49191246,-117.2218902,0
23:58:13:297,44.17332646,99.02144111,4.979822266,-152.405531,98.97480986,-123.1647729,0
23:58:13:549,41.75339552,95.29305427,6.380684503,-155.412242,58.71866496,-116.9592218,0
23:58:13:801,34.76187092,5.712389092,-14.8395007,-149.9685882,43.60811618,-122.6323676,0
23:58:14:053,-18.71737794,23.47804195,58.5205926,-155.72997,70.3654751,-120.9315225,0
23:58:14:306,-45.28498577,64.59320102,64.10235081,-157.3893783,86.87074692,-106.5243811,0
23:58:14:557,-6.92417183,17.91255391,-5.819161016,-143.9230498,72.12992928,-113.5974846,0
23:58:14:810,8.019508549,33.60026903,-31.92859771,-151.6182717,41.32949355,-113.3625861,0
23:58:15:062,-37.90409093,61.2074043,-46.66142036,-148.2968757,43.80133043,-112.8852186,0
23:58:15:316,-64.71090546,7.607691816,-52.64268242,-145.5629027,58.66846154,-135.0731494,0
23:58:15:568,12.62302368,-29.81083228,-31.38041569,-154.7080638,49.02705307,-136.9183683,0
23:58:15:820,28.5779287,-28.87231585,-48.40049552,-152.1800615,43.2233059,-136.3856057,0
23:58:16:072,3.8038147,7.639147339,-1.628138585,-160.0901665,54.56818473,-134.1551838,0
23:58:16:324,78.61993664,58.43580711,102.1029796,-168.5676397,62.60827405,-128.2556083,0
23:58:16:577,41.80436684,31.66067605,57.34903979,-164.4703312,57.21749076,-127.3252264,0
23:58:16:829,-40.34919215,-22.39638065,102.1604719,-154.3411089,58.99900648,-119.6914072,0
23:58:17:081,-23.06093699,8.016309379,131.023544,-155.3670049,80.61895523,-132.4070846,0
23:58:17:334,22.97126168,-33.23118004,-56.75181355,-155.0021855,89.19607361,-124.3357515,0
23:58:17:586,42.80415421,-90.58922292,-3.817961029,-149.2011622,76.2054188,-109.7550933,0
23:58:17:838,-46.02212396,7.569846582,8.013448308,-165.8965244,59.46905101,-117.5199078,0
23:58:18:091,-29.5742828,-12.70030877,-134.2113988,-161.3881113,62.66062275,-121.2250617,0
23:58:18:343,25.80191795,-91.74486403,-8.25600424,-148.8974842,82.22347008,-148.7900805,0
23:58:18:595,-32.42150448,-29.91572733,6.882370362,-152.2596294,64.50415942,-133.4331423,0
23:58:18:846,6.606200025,-8.246993383,-49.24454545,-149.5488657,56.15006102,-99.77811943,0
23:58:19:100,14.78088639,25.01169314,-18.20351174,-163.6335908,74.80966233,-121.5132649,0
23:58:19:352,11.97296247,54.05853501,-177.9730289,-169.8702601,58.11519641,-110.6661555,0
23:58:19:604,70.25879876,15.43371729,-201.4324476,-172.8287017,52.88148788,-103.8638156,0
23:58:19:857,23.28218818,56.49310756,-46.96233939,-163.473162,65.89233683,-125.0003199,0
23:58:20:109,-26.27584759,-4.219897302,3.320997261,-138.3415666,67.75037797,-116.9982052,0
23:58:20:362,-64.86649732,-82.91343455,-16.07156365,-144.9056304,69.83296299,-124.1744967,0
23:58:20:614,-120.6213021,39.41388114,-88.56783023,-134.467334,64.01517859,-123.0924938,0
23:58:20:866,-55.89330668,14.06561331,-40.61449953,-145.2288134,74.74995577,-111.3130991,0
23:58:21:119,17.36473028,-54.29328771,-20.29469284,-180.3544337,89.97957232,-120.3160253,0
23:58:21:371,-41.1942856,36.4056227,-118.2313153,-159.0734445,67.76970895,-109.8109206,0
23:58:21:623,-49.67532138,34.7924867,-20.05908136,-156.2205986,46.83545825,-100.9806697,0
23:58:21:875,-15.1919249,32.80255029,70.16156068,-157.7747189,52.4360143,-106.9671424,0
23:58:22:128,-55.60471457,13.92416772,26.24333303,-132.7893874,65.32355759,-110.6128254,0
23:58:22:380,-48.66473521,-50.67490632,26.92009543,-147.8238446,78.73985438,-106.9055922,0
23:58:22:632,-18.84470245,42.6985469,29.39835653,-167.2480387,73.76144689,-112.1004126,0
23:58:22:885,-12.70516034,75.55086467,6.957157836,-159.7087823,66.62437459,-134.3097188,0
23:58:23:137,15.15683798,-11.96142478,0.787218933,-150.776783,68.62718669,-111.5094066,0
23:58:23:388,43.09860671,2.134429884,-7.395384005,-164.7476523,62.18615353,-91.34606846,0
23:58:23:642,39.16331167,-10.21687082,-116.4711325,-176.2451952,62.90461007,-117.1898921,0
23:58:23:894,12.93691307,-64.44427359,-156.2583404,-153.9429677,57.41597435,-128.3442954,0
23:58:24:146,26.94167675,-8.151414734,40.80813778,-142.6038312,56.43199647,-133.8866265,0
23:58:24:399,15.80622351,22.37072541,107.0944462,-145.5094528,79.81642287,-118.8458307,0
23:58:24:651,-45.05258009,-35.62271365,-21.10970071,-145.2486394,69.9043383,-100.4821335,0
